NOC2016,noc_title_2016,NOC2006,noc_title_2006
6741,"Dry cleaning, laundry and related occupations",G982,"Ironing, pressing and finishing occupations"
6742,"Other service support occupations, n.e.c.",G983,Other elemental service occupations
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",H011,"Supervisors, machinists and related occupations"
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",H014,"Contractors and supervisors, metal forming, shaping and erecting trades"
7202,"Contractors and supervisors, electrical trades and telecommunications occupations",H012,"Contractors and supervisors, electrical trades and telecommunications occupations"
7203,"Contractors and supervisors, pipefitting trades",H013,"Contractors and supervisors, pipefitting trades"
7204,"Contractors and supervisors, carpentry trades",H015,"Contractors and supervisors, carpentry trades"
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",H019,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
7231,Machinists and machining and tooling inspectors,H311,Machinists and machining and tooling inspectors
7232,Tool and die makers,H312,Tool and die makers
7233,Sheet metal workers,H321,Sheet metal workers
7234,Boilermakers,H322,Boilermakers
7235,Structural metal and platework fabricators and fitters,H323,Structural metal and platework fabricators and fitters
7236,Ironworkers,H324,Ironworkers
7237,Welders and related machine operators,H326,Welders and related machine operators
7241,Electricians (except industrial and power system),H211,Electricians (except industrial and power system)
7242,Industrial electricians,H212,Industrial electricians
7243,Power system electricians,H213,Power system electricians
7244,Electrical power line and cable workers,H214,Electrical power line and cable workers
7245,Telecommunications line and cable workers,H215,Telecommunications line and cable workers
7246,Telecommunications installation and repair workers,H216,Telecommunications installation and repair workers
7247,Cable television service and maintenance technicians,H217,Cable television service and maintenance technicians
7251,Plumbers,H111,Plumbers
7252,"Steamfitters, pipefitters and sprinkler system installers",H112,"Steamfitters, pipefitters and sprinkler system installers"
7253,Gas fitters,H113,Gas fitters
7271,Carpenters,H121,Carpenters
7272,Cabinetmakers,H122,Cabinetmakers
7281,Bricklayers,H131,Bricklayers
7282,Concrete finishers,H132,Concrete finishers
7283,Tilesetters,H133,Tilesetters
7284,"Plasterers, drywall installers and finishers and lathers",H134,"Plasterers, drywall installers and finishers and lathers"
7291,Roofers and shinglers,H141,Roofers and shinglers
7292,Glaziers,H142,Glaziers
7293,Insulators,H143,Insulators
7294,Painters and decorators (except interior decorators),H144,Painters and decorators
7295,Floor covering installers,H145,Floor covering installers
7301,"Contractors and supervisors, mechanic trades",H016,"Contractors and supervisors, mechanic trades"
7302,"Contractors and supervisors, heavy equipment operator crews",H017,"Contractors and supervisors, heavy construction equipment crews"
7303,"Supervisors, printing and related occupations",H018,"Supervisors, printing and related occupations"
7304,"Supervisors, railway transport operations",H021,"Supervisors, railway transport operations"
7305,"Supervisors, motor transport and other ground transit operators",H022,"Supervisors, motor transport and other ground transit operators"
7311,Construction millwrights and industrial mechanics,H411,Construction millwrights and industrial mechanics (except textile)
7311,Construction millwrights and industrial mechanics,H417,Textile machinery mechanics and repairers
7312,Heavy-duty equipment mechanics,H412,Heavy-duty equipment mechanics
7313,Refrigeration and air conditioning mechanics,H413,Refrigeration and air conditioning mechanics
7314,Railway carmen/women,H414,Railway carmen/women
7315,Aircraft mechanics and aircraft inspectors,H415,Aircraft mechanics and aircraft inspectors
7316,Machine fitters,H416,Machine fitters
7318,Elevator constructors and mechanics,H418,Elevator constructors and mechanics
7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",H421,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
7322,Motor vehicle body repairers,H422,Motor vehicle body repairers
7331,Oil and solid fuel heating mechanics,H431,Oil and solid fuel heating mechanics
7332,Appliance servicers and repairers,H432,Electric appliance servicers and repairers
7333,Electrical mechanics,H433,Electrical mechanics
7334,"Motorcycle, all-terrain vehicle and other related mechanics",H434,Motorcycle and other related mechanics
7335,Other small engine and small equipment repairers,H435,Other small engine and equipment mechanics
7361,Railway and yard locomotive engineers,H721,Railway and yard locomotive engineers
7362,Railway conductors and brakemen/women,H722,Railway conductors and brakemen/women
7371,Crane operators,H621,Crane operators
7372,"Drillers and blasters - surface mining, quarrying and construction",H622,"Drillers and blasters - surface mining, quarrying and construction"
7373,Water well drillers,H623,Water well drillers
7381,Printing press operators,H521,Printing press operators
7384,"Other trades and related occupations, n.e.c.",H325,Blacksmiths and die setters
7384,"Other trades and related occupations, n.e.c.",H522,Commercial divers
7384,"Other trades and related occupations, n.e.c.",H523,Other trades and related occupations
7441,Residential and commercial installers and servicers,H531,Residential and commercial installers and servicers
7442,Waterworks and gas maintenance workers,H532,Waterworks and gas maintenance workers
7444,Pest controllers and fumigators,H534,Pest controllers and fumigators
7445,Other repairers and servicers,H535,Other repairers and servicers
7451,Longshore workers,H811,Longshore workers
7452,Material handlers,H812,Material handlers
7511,Transport truck drivers,H711,Truck drivers
